title,company,location,link
Python Developer – DevOps Tooling,Morgan Stanley,"Montréal, QC",https://ca.indeed.com/viewjob?jk=04792fde4f04212a
Natural Language Understanding (NLU) Developer Intern,Cerence,"Montréal, QC",https://ca.indeed.com/viewjob?jk=ada8ce73f4d177f3
Ingénieur(e) junior en mécanique des roches,Golder Associates,"Montréal, QC",https://ca.indeed.com/viewjob?jk=dfe60c0edb669bb5
Data Analyst - Operations and Performance,Test Company (ENGLISH),"Montréal, QC",https://ca.indeed.com/viewjob?jk=441d12176cc3bccf
Data Engineer,Tower Research Capital,"Montréal, QC",https://ca.indeed.com/viewjob?jk=931bc1ab2f2d8369
Python Developer,PokerStars,"Toronto, ON",https://ca.indeed.com/viewjob?jk=c7c03b490825a799
Engineering Research Technician,Haply Robotics,"Montréal, QC",https://ca.indeed.com/viewjob?jk=fa0906f78009c138
Software Engineer Early In Career (Canada Remote),Splunk,,https://ca.indeed.com/viewjob?jk=8a18f3a1d90e9d56
IBM Guardium Administrator,Morgan Stanley,"Montréal, QC",https://ca.indeed.com/viewjob?jk=d999cc759f9c215e
Business Intellingence Analyst,Valsoft,"Montréal, QC",https://ca.indeed.com/viewjob?jk=2d5b2dea7378b2b2
Backend Developer/Application Support,Soho Square Solutions,"Montréal, QC",https://ca.indeed.com/viewjob?jk=880bb1a1a7b984ff
computer software engineer,IngeniArts Technologies,"Quebec City, QC",https://ca.indeed.com/viewjob?jk=a9571d7f9e68bfd1
"Financial Risk Management Consultants and Interns, Greater Montreal area",KPMG,"Montréal, QC",https://ca.indeed.com/viewjob?jk=ca776c1f50dbed12
Software Developer,Vention,"Montréal, QC",https://ca.indeed.com/viewjob?jk=5c93157f02f72de6
SRE Openstack,OVH,"Montréal, QC",https://ca.indeed.com/viewjob?jk=8a58a97614494bb9
Stagiaire Programmeur·euse IA & Apprentissage automatique / AI & Machine Learning Programmer Intern,Eidos Montréal,"Montréal, QC",https://ca.indeed.com/viewjob?jk=f573d8ef55d925cb
Technical Writer (Remote),Ada Inc.,,https://ca.indeed.com/viewjob?jk=140cec0985325a41
Développeur·se Python,Group onePoint,"Montréal, QC",https://ca.indeed.com/viewjob?jk=6d6e22b9a30a3cad
Application Support Analyst,Talan,"Montréal, QC",https://ca.indeed.com/viewjob?jk=ef5779cb3718fa22
Kubernetes SRE Specialist - Ubisoft Kubernetes Service,Ubisoft,"Montréal, QC",https://ca.indeed.com/viewjob?jk=6b5d8a5d877b1a91
Angular Web Developer,Soho Square Solutions,"Montréal, QC",https://ca.indeed.com/viewjob?jk=4b24eb61e808f1ba
Teaching Assistant YCBS 299 - Data Science Capstone Project,McGill University,"Montréal, QC",https://ca.indeed.com/viewjob?jk=70a767b419d1652d
Senior Python Developer,Leap Tools,,https://ca.indeed.com/viewjob?jk=72b8ac87ba3dd534
Data Scientists Customer Contact Centers,National Bank of Canada,"Montréal, QC",https://ca.indeed.com/viewjob?jk=adbbfc27fd8fd752
Application Support Analyst,Talan,"Montréal, QC",https://ca.indeed.com/viewjob?jk=ef5779cb3718fa22
Kubernetes SRE Specialist - Ubisoft Kubernetes Service,Ubisoft,"Montréal, QC",https://ca.indeed.com/viewjob?jk=6b5d8a5d877b1a91
Angular Web Developer,Soho Square Solutions,"Montréal, QC",https://ca.indeed.com/viewjob?jk=4b24eb61e808f1ba
Teaching Assistant YCBS 299 - Data Science Capstone Project,McGill University,"Montréal, QC",https://ca.indeed.com/viewjob?jk=70a767b419d1652d
Senior Python Developer,Leap Tools,,https://ca.indeed.com/viewjob?jk=72b8ac87ba3dd534
Data Scientists Customer Contact Centers,National Bank of Canada,"Montréal, QC",https://ca.indeed.com/viewjob?jk=adbbfc27fd8fd752
Applied Machine Learning Researcher,Morgan Stanley,"Montréal, QC",https://ca.indeed.com/viewjob?jk=99cd81d2ceff2455
Full Stack Python Developer,SG Digital,"Montréal, QC",https://ca.indeed.com/viewjob?jk=7478e70d150ffc42
DevOps Engineer,FINTEGRO COMPANY INC.,"Montréal, QC",https://ca.indeed.com/viewjob?jk=0855cc24be41a919
Frontend Developer,Algolux,"Montréal, QC",https://ca.indeed.com/viewjob?jk=499000368062286e
Software Developer,McGill University,"Montréal, QC",https://ca.indeed.com/viewjob?jk=4a53d54552f42954
DevOps Engineer,Fivesky,"Montréal, QC",https://ca.indeed.com/viewjob?jk=942d1f47dc036396
Deep Learning Engineer,"Deeplite, Inc.",,https://ca.indeed.com/viewjob?jk=d14da06e14b9373b
Analyste en sécurité de l’information (1123),CHUM,"Montréal, QC",https://ca.indeed.com/viewjob?jk=8220a8aa9d19d972
"Programmer Analyst, Applications",Indigenous Services Canada,"Gatineau, QC",https://ca.indeed.com/viewjob?jk=00715bd10d7e5ce4
"Deep Learning Engineering Intern, Content & Technology - Winter 2022",NVIDIA,,https://ca.indeed.com/viewjob?jk=8dbf776317a6ff23
Machine Learning & Cloud Designer Summer Intern,ALÉO Canada,"Montréal, QC",https://ca.indeed.com/viewjob?jk=c5c294f2385defa6
DevOps engineer,Logix ITS Group,"Montréal, QC",https://ca.indeed.com/viewjob?jk=6de2000679b7cb10
Senior Automation (Python) QA Engineer,Altinity,,https://ca.indeed.com/viewjob?jk=1dc9f1ca24de204b
Android Developer,Mistplay,"Montréal, QC",https://ca.indeed.com/viewjob?jk=da31ddb78ce2976e
Junior Python Developer,Leap Tools,,https://ca.indeed.com/viewjob?jk=1b4b432239c77532
Data Analyst,Sheertex,"Montréal, QC",https://ca.indeed.com/viewjob?jk=38ca776b0bf16013
Data Analyst - Operations and Performance,MindGeek Careers,"Montréal, QC",https://ca.indeed.com/viewjob?jk=37c19a11714e895e
Senior Applied Research Scientist - ATG,ServiceNow,"Montréal, QC",https://ca.indeed.com/viewjob?jk=21f85958e614d0f2
Gameplay Programmer Co-Op (January 2022 - 8 Months),Electronic Arts,"Montréal, QC",https://ca.indeed.com/viewjob?jk=85c0b0c636788249
"Actuaire, Assurance Vie",EY,"Montréal, QC",https://ca.indeed.com/viewjob?jk=45068b2ee7fd7c08
Solar Inverter Engineer,DNV,"Montréal, QC",https://ca.indeed.com/viewjob?jk=3a148be89dfdcf2b
Backend Software Developer,Mistplay,"Montréal, QC",https://ca.indeed.com/viewjob?jk=e58a1c8090077c5f
Assistant Technical Director (ATD),double negative visual effects,,https://ca.indeed.com/viewjob?jk=ef54030c201ade25
DEVELOPPEURS BACKEND (DEVOPS) / BACKEND ENGINEERS (DEVOPS),Greybox Solutions Inc,,https://ca.indeed.com/viewjob?jk=544b752398bbeb8f
Data Analyst,Zesty.ai,"Montréal, QC",https://ca.indeed.com/viewjob?jk=d4d775151f07a88b
Planificateur de la demande / Demand Planner,Altitude Sports,,https://ca.indeed.com/viewjob?jk=a0856884d118cc4b
IT Support Technician,DRW,"Montréal, QC",https://ca.indeed.com/viewjob?jk=9304c77f9694e401
CONTROL SYSTEMS ENGINEER,Systèmes & Logiciels Mannarino,"Saint-Laurent, QC",https://ca.indeed.com/viewjob?jk=64520be783362279
software engineer,Animal Logic Studios (Vancouver) Ltd.,,https://ca.indeed.com/viewjob?jk=c9cb9c935e848463
System Administrator,Nebula AI Inc.,"Montréal, QC",https://ca.indeed.com/viewjob?jk=7c99ae816c5b5ae9
Virtual Production Assistant,Dark Slope,,https://ca.indeed.com/viewjob?jk=fcb544cf70ffea7d
Operations Engineer Intern,Everbridge,Canada,https://ca.indeed.com/viewjob?jk=416bdc8d296f305f
Python Automation Tester,Morgan Stanley,"Montréal, QC",https://ca.indeed.com/viewjob?jk=56d7d249feb1433e
Pipeline TD,DNEG,,https://ca.indeed.com/viewjob?jk=37ffdc45c570f9e4
STAGIAIRE EN INFORMATIQUE - CONCEPTEUR(TRICE) - DÉVELOPPEUR(EUSE),Loto-Québec,,https://ca.indeed.com/viewjob?jk=068f96d087999dce
Intern Business Intelligence (BI) - Winter 2022,Société Générale,"Montréal, QC",https://ca.indeed.com/viewjob?jk=8f7abc4d5b5f76b4
Data Analyst,Properly (Canada),,https://ca.indeed.com/viewjob?jk=367bfe954fd6da99
DevOps Engineer,Pacific Programming and Tech,,https://ca.indeed.com/viewjob?jk=e2833913358ee80b
Tenure-Track Position in Data Analytics,Concordia University,"Montréal, QC",https://ca.indeed.com/viewjob?jk=ca4e5eb5d2d77aac
Stagiaire Intelligence Artificielle (AI) - Hiver 2022-(H/F),Société Générale,"Montréal, QC",https://ca.indeed.com/viewjob?jk=238a10969b90c735
Animateur - Animator,ReDefine,"Montréal, QC",https://ca.indeed.com/viewjob?jk=1e67adca8928ac53
"Analyst, Investments - Trans Canada Capital",Air Canada,"Montréal, QC",https://ca.indeed.com/viewjob?jk=5e113a2a8fcad5a5
Animateur - Animator,DNEG,"Montréal, QC",https://ca.indeed.com/viewjob?jk=6e7c8df19c8dd9a2
DB Developer,Global Pharma Tek,"Montréal, QC",https://ca.indeed.com/viewjob?jk=9fe07555f5745a18
DB Developer,Global Pharma Tek,"Montréal, QC",https://ca.indeed.com/viewjob?jk=9fe07555f5745a18
"Backend Programmer (C#, Go,Python) - Technology Group",Ubisoft,"Montréal, QC",https://ca.indeed.com/viewjob?jk=9db2d4c8c9c797b5
Analyste au support applicatif,onepoint Canada,"Montréal, QC",https://ca.indeed.com/viewjob?jk=410797f6155acfbf
Senior Research Scientist (Time Series),ServiceNow,"Montréal, QC",https://ca.indeed.com/viewjob?jk=83650e9aa61df354
Conversational Artificial Intelligence Specialist,National Bank of Canada,"Montréal, QC",https://ca.indeed.com/viewjob?jk=151a17bf00c8cf70
Data Analyst,Confluence Technologies Inc.,"Montréal, QC",https://ca.indeed.com/viewjob?jk=56e16cfcbddc9bcb
EDI SPECIALIST,MEDITERRANEAN SHIP.INC.,,https://ca.indeed.com/viewjob?jk=08ab5184cef94e64
ASIC and FPGA Design Verification Specialist,Hardent,,https://ca.indeed.com/viewjob?jk=18b4cd602061d865
2LS Support Engineer - Entry Level,NOKIA,,https://ca.indeed.com/viewjob?jk=b1217409f8ee3c97
Automotive Computer Vision Researcher,Algolux,"Montréal, QC",https://ca.indeed.com/viewjob?jk=968ef0aee4397b5d
Python Automation Developer,Syntax Systems Ltd.,"Mont-royal, QC",https://ca.indeed.com/viewjob?jk=6b9571b47d911b23
DevSecOps Integrator,CTConsultants,"Montréal, QC",https://ca.indeed.com/viewjob?jk=7d8715052daff424
back-end developer,Coinsquare Ltd,,https://ca.indeed.com/viewjob?jk=cfbb03ff50839614
Data Analyst/Scientist,Fusion Analytics,,https://ca.indeed.com/viewjob?jk=8fc5c3a0dc80522a
data scientist,Tiger Analytics Inc.,,https://ca.indeed.com/viewjob?jk=adb3d5242159271e
artificial intelligence (ai) programmer,Super GeoAI Technology Inc.,,https://ca.indeed.com/viewjob?jk=175e85e7d8b93678
Stage Développement Logiciel,IMDS,"Montréal, QC",https://ca.indeed.com/viewjob?jk=33cecd709eb34195
Senior system administrator,REAL by FAKE,,https://ca.indeed.com/viewjob?jk=2e1d61bca054fc3d
Houdini TD,Rodeo FX,,https://ca.indeed.com/viewjob?jk=db341b927c591366
Stagiaire Scientifique de données / Data Scientist Intern,Square Enix Montréal,"Montréal, QC",https://ca.indeed.com/viewjob?jk=1cbffcd4f33d6c90
Junior Full Stack Developer (remote position) Research Clerk (Research Institute),Centre universitaire de santé McGill,,https://ca.indeed.com/viewjob?jk=5d8465995ad703e2
Data Analyst,Levio,"Montréal, QC",https://ca.indeed.com/viewjob?jk=2798f1d5ee30ad21
Control Systems Engineer,Mannarino Systems & Software Inc.,"Montréal, QC",https://ca.indeed.com/viewjob?jk=d1d09cf5d1633edc
QA Testing Analyst,Livescale,"Montréal, QC",https://ca.indeed.com/viewjob?jk=c00b52ee65c8b272
Full Stack Developer (React/Python) – Winter 2022 Co-op,Gbatteries,Remote,https://ca.indeed.com/viewjob?jk=eb3c8a067d15a5ae
Visual Merch - Presentation visuelle West Elm 6038 Montreal,West Elm,"Montréal, QC",https://ca.indeed.com/viewjob?jk=55e4a219e0b6d575
"Senior Python Developer (Montreal), Intact Lab",Intact,"Montréal, QC",https://ca.indeed.com/viewjob?jk=67a9867d9d2d1822
Intern Model Risk Management - Winter 2022,Société Générale,"Montréal, QC",https://ca.indeed.com/viewjob?jk=4228e020f00b1cb4
Structurateur de stratégies d'investissement quantitatives-(H/F),Société Générale,"Montréal, QC",https://ca.indeed.com/viewjob?jk=ed299565b9d93500
Robotic control developer,Kinova,,https://ca.indeed.com/viewjob?jk=a41fb79680306ad2
"Programmeuse, Programmeur QA (DNA)",Ubisoft,"Montréal, QC",https://ca.indeed.com/viewjob?jk=c1472c7168202d46
Devops Junior,Linkbynet,"Montréal, QC",https://ca.indeed.com/viewjob?jk=76b69834dafb0338
Développeur Business Intelligence,Cirque du Soleil,"Montréal, QC",https://ca.indeed.com/viewjob?jk=3ba5e9b39e4d096d
Developpeur junior,LogMeIn,"Montréal, QC",https://ca.indeed.com/viewjob?jk=dcf32a8778d207a1
Junior Quality Analyst (QA),"e180, inc.",,https://ca.indeed.com/viewjob?jk=bb0eb62ce0b2f872
"Machine Learning Engineer, Physics-based Machine Learning",Corning,"Montréal, QC",https://ca.indeed.com/viewjob?jk=ecd7def376dbbc48
Data Analyst [REMOTE],Viafoura Inc.,,https://ca.indeed.com/viewjob?jk=117ad3ce11127bc6
Gestionnaire de portefeuille,Banque Nationale du Canada,"Montréal, QC",https://ca.indeed.com/viewjob?jk=f1d5ce8bdbe6356b
"Développeur logiciel stagiaire, baccalauréat, été 2022",Google,"Montréal, QC",https://ca.indeed.com/viewjob?jk=1d2f1115a06cec6c
Python Developer,Kastech Global,,https://ca.indeed.com/viewjob?jk=a52f887f815fce35
"Spécialiste, Ingénierie de l’apprentissage automatique",Morgan Stanley,"Montréal, QC",https://ca.indeed.com/viewjob?jk=602d08d76fe2a4cd
Consultant(e) principal(e) en technologie,TELUS,"Montréal, QC",https://ca.indeed.com/viewjob?jk=550c1500b36544ec
Junior C# Software Developer,Pointus Partners,,https://ca.indeed.com/viewjob?jk=4eee9a021954d312
Creature Lab - Researcher,DNEG,,https://ca.indeed.com/viewjob?jk=2a0c3f2b8da5c532
Crowd Artist,Scanline VFX,,https://ca.indeed.com/viewjob?jk=e803a236b3ed51f4
Data Analyst (Business Intelligence),LASIK MD,"Montréal, QC",https://ca.indeed.com/viewjob?jk=441a343d7e64ba5c
Quantitative Investment Strategies Structurer,Société Générale,"Montréal, QC",https://ca.indeed.com/viewjob?jk=f9b0d37555059113
Montreal - Développeur de Logiciels Junior,FDM Group,"Montréal, QC",https://ca.indeed.com/viewjob?jk=ffc41c12635e31eb
Data Science Co-op/Internship (Winter 2022),Micro Focus,,https://ca.indeed.com/viewjob?jk=b27898c6f62a42b3
Tech Entrepreneur (Startup Co-Founder),TandemLaunch,"Montréal, QC",https://ca.indeed.com/viewjob?jk=23c4861f4407fa23
Lead DevOps Infrastructure Engineer - Australia,"ENSEK
                ","Melbourne, Australia",https://stackoverflow.com/jobs/523524
